cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
11000.0,AW00011000,Andrew,Lewis,M,F,2024-07-11
11001.0,AW00011001,Ronald,Ngata,S,F,2023-05-12
11002.0,AW00011002,Baraa,Williams,S,F,2023-12-08
11003.0,AW00011003,Baraa,Nime,M,M,2024-05-01
11004.0,AW00011004,Kimberly,Carter,M,F,2026-01-08
11005.0,AW00011005,Richard,Adams,S,M,2024-08-23
11006.0,AW00011006,Linda,Roberts,S,F,2024-05-07
11007.0,AW00011007,Joseph,Kumar,S,M,2025-04-14
11008.0,AW00011008,Daniel,Wright,S,F,2026-01-05
11009.0,AW00011009,Tane,Kumar,S,F,2023-11-08
11010.0,AW00011010,James,Roberts,M,F,2025-06-09
11011.0,AW00011011,Joseph,Green,M,M,2023-01-27
11012.0,AW00011012,Matthew,Mitchell,S,M,2024-09-02
11013.0,AW00011013,Steven,Kumar,S,F,2025-12-17
11014.0,AW00011014,Thomas,Scott,M,F,2024-05-07
11015.0,AW00011015,Jessica,Carter,M,F,2025-03-20
11016.0,AW00011016,Jessica,Parker,M,M,2023-12-08
11017.0,AW00011017,Michelle,Hall,S,F,2024-08-14
11018.0,AW00011018,Timothy,Jackson,S,M,2025-10-12
11019.0,AW00011019,Nancy,Nime,S,F,2023-03-20
11020.0,AW00011020,Tane,Hall,S,F,2025-07-01
11021.0,AW00011021,Malia,Lewis,M,F,2023-12-08
11022.0,AW00011022,Mary,Walker,M,M,2025-12-16
11023.0,AW00011023,Baraa,Nelson,M,M,2025-03-25
11024.0,AW00011024,Amanda,Johnson,M,M,2025-05-12
11025.0,AW00011025,Richard,Toalii,M,M,2025-05-22
11026.0,AW00011026,Aroha,Lewis,S,M,2023-02-16
11027.0,AW00011027,Michelle,Campbell,S,F,2024-09-30
11028.0,AW00011028,Donald,Jackson,S,F,2023-05-12
11029.0,AW00011029,Emily,Moore,M,F,2024-08-04
11030.0,AW00011030,Mere,Campbell,S,F,2024-01-15
11031.0,AW00011031,Paul,Moore,M,F,2025-08-11
11032.0,AW00011032,Betty,Smith,M,F,2024-11-13
11033.0,AW00011033,Joseph,Phillips,S,M,2023-12-28
11034.0,AW00011034,James,Moore,S,F,2024-01-15
11035.0,AW00011035,Thomas,Wright,S,F,2025-10-08
11036.0,AW00011036,Tane,Baker,M,M,2025-07-30
11037.0,AW00011037,Mary,Wright,M,F,2023-09-10
11038.0,AW00011038,Ashley,Johnson,S,M,2023-08-27
11039.0,AW00011039,Charles,Green,S,M,2024-02-01
11040.0,AW00011040,Michael,Perez,M,F,2023-12-13
11041.0,AW00011041,Kenneth,Thompson,M,M,2025-10-28
11042.0,AW00011042,Paul,Scott,S,M,2024-09-06
11043.0,AW00011043,Paul,Roberts,S,F,2026-03-13
11044.0,AW00011044,Paul,Thomas,M,M,2025-10-06
11045.0,AW00011045,Emily,Parker,S,F,2026-03-09
11046.0,AW00011046,Tane,Clark,S,M,2025-09-15
11047.0,AW00011047,Betty,Johnson,M,M,2025-11-20
11048.0,AW00011048,Betty,Moore,S,F,2025-10-17
11049.0,AW00011049,Jessica,King,M,M,2024-09-02
11050.0,AW00011050,Michael,Patel,S,F,2024-08-11
11051.0,AW00011051,Sione,Manu,M,F,2025-04-16
11052.0,AW00011052,Ronald,Roberts,S,M,2023-05-31
11053.0,AW00011053,Emily,Toalii,M,F,2023-10-02
11054.0,AW00011054,Susan,Singh,S,M,2025-03-13
11055.0,AW00011055,Betty,Nime,M,F,2026-02-24
11056.0,AW00011056,Steven,Martin,S,F,2023-07-03
11057.0,AW00011057,Charles,Clark,M,M,2024-10-14
11058.0,AW00011058,Mark,King,M,M,2024-12-19
11059.0,AW00011059,Melissa,Singh,S,M,2026-02-12
11060.0,AW00011060,Richard,Parker,S,F,2025-11-27
11061.0,AW00011061,Jessica,Miller,M,M,2024-03-25
11062.0,AW00011062,George,Wright,S,F,2024-04-22
11063.0,AW00011063,Keziah,Wilson,S,M,2023-04-07
11064.0,AW00011064,Melissa,Green,S,M,2024-12-24
11065.0,AW00011065,Patricia,Jackson,M,M,2023-04-13
11066.0,AW00011066,Jessica,Patel,M,F,2026-03-06
11067.0,AW00011067,Charles,Williams,M,M,2023-03-06
11068.0,AW00011068,Aroha,Roberts,M,M,2024-05-16
11069.0,AW00011069,Michelle,Moore,M,M,2025-04-29
11070.0,AW00011070,Sarah,Patel,M,F,2026-02-28
11071.0,AW00011071,Anthony,Garcia,S,F,2023-11-23
11072.0,AW00011072,Ashley,Taylor,S,F,2023-03-09
11073.0,AW00011073,Rebecca,Toalii,M,M,2024-12-25
11074.0,AW00011074,Keziah,Johnson,M,M,2026-02-14
11075.0,AW00011075,Robert,Parker,S,F,2023-06-19
11076.0,AW00011076,William,King,M,M,2024-02-18
11077.0,AW00011077,Keziah,Nelson,S,M,2025-03-25
11078.0,AW00011078,Aroha,Jones,S,M,2023-04-01
11079.0,AW00011079,George,White,M,M,2024-04-16
11080.0,AW00011080,Kimberly,Hall,S,F,2025-10-23
11081.0,AW00011081,Anthony,Wilson,S,M,2026-01-21
11082.0,AW00011082,Donna,Green,S,F,2023-07-19
11083.0,AW00011083,James,Jackson,S,M,2025-02-13
11084.0,AW00011084,Brian,Wilson,S,M,2023-09-10
11085.0,AW00011085,Mark,Singh,M,F,2025-08-21
11086.0,AW00011086,Steven,Wright,M,M,2025-05-17
11087.0,AW00011087,Robert,Miller,S,F,2025-06-20
11088.0,AW00011088,Thomas,Parker,M,M,2026-03-20
11089.0,AW00011089,Donna,Lopez,S,F,2024-09-25
11090.0,AW00011090,Patricia,Garcia,M,F,2023-09-24
11091.0,AW00011091,Richard,Garcia,S,F,2023-12-15
11092.0,AW00011092,Andrew,Ngata,M,M,2023-04-29
11093.0,AW00011093,Susan,Anderson,M,M,2023-02-17
11094.0,AW00011094,Charles,Thompson,S,M,2024-08-17
11095.0,AW00011095,Baraa,Scott,S,F,2025-01-09
11096.0,AW00011096,Deborah,Moore,M,M,2025-10-12
11097.0,AW00011097,Richard,White,S,F,2024-07-22
11098.0,AW00011098,Rebecca,Carter,S,M,2023-03-08
11099.0,AW00011099,Stephanie,Ngata,M,M,2024-07-30
11100.0,AW00011100,James,Martin,S,F,2024-09-28
11101.0,AW00011101,Sandra,Lee,S,F,2023-12-12
11102.0,AW00011102,Carol,Lewis,M,F,2023-04-27
11103.0,AW00011103,Malia,Anderson,S,M,2023-10-09
11104.0,AW00011104,Mary,Adams,S,M,2024-08-17
11105.0,AW00011105,Peter,Brown,M,M,2025-05-16
11106.0,AW00011106,Jessica,Manu,S,M,2023-01-03
11107.0,AW00011107,Daniel,Wright,S,F,2025-10-01
11108.0,AW00011108,Stephanie,,M,F,2024-08-24
11109.0,AW00011109,Matthew,White,S,M,2025-03-11
11110.0,AW00011110,Anthony,Patel,M,F,2023-08-12
11111.0,AW00011111,Sarah,Kumar,S,F,2024-03-13
11112.0,AW00011112,Ronald,Thompson,M,F,2023-02-22
11113.0,AW00011113,John,Patel,S,M,2024-05-25
11114.0,AW00011114,Anthony,Thompson,M,M,2025-09-12
11115.0,AW00011115,Donald,King,M,F,2024-10-12
11116.0,AW00011116,Barbara,Ngata,M,M,2023-09-14
11117.0,AW00011117,Patricia,Hall,S,M,2025-01-04
11118.0,AW00011118,Carol,Thompson,M,M,2024-01-18
11119.0,AW00011119,James,Martin,S,M,2026-05-25
11120.0,AW00011120,Sandra,Thompson,M,F,2023-08-08
11121.0,AW00011121,Joshua,Campbell,M,F,2024-06-25
11122.0,AW00011122,Linda,Smith,M,M,2023-04-08
11123.0,AW00011123,Elizabeth,Patel,M,M,2024-09-10
11124.0,AW00011124,David,Kumar,S,M,2024-08-07
11125.0,AW00011125,Michael,Taylor,M,M,2024-03-18
11126.0,AW00011126,Donna,Campbell,S,M,2025-07-12
11127.0,AW00011127,Carol,King,S,F,2025-09-09
11128.0,AW00011128,Emily,Allen,S,M,2024-06-13
11129.0,AW00011129,Mary,Patel,M,M,2026-03-17
,AW00011130,Susan,Garcia,S,F,2023-06-04
11131.0,AW00011131,George,Clark,S,F,2025-06-02
11132.0,AW00011132,Elizabeth,Scott,S,M,2026-05-13
11133.0,AW00011133,Sandra,Thomas,S,F,2024-08-02
11134.0,AW00011134,Susan,Davis,M,F,2025-09-17
11135.0,AW00011135,John,Jackson,S,M,2024-05-11
11136.0,AW00011136,James,Campbell,M,M,2024-06-10
11137.0,AW00011137,Jennifer,Jackson,M,M,2026-02-08
11138.0,AW00011138,Sione,Young,M,F,2026-04-09
11139.0,AW00011139,Malia,Taylor,S,M,2024-03-09
11140.0,AW00011140,Peter,Davis,S,F,2023-02-04
11141.0,AW00011141,Jessica,Wright,S,M,2025-12-30
11142.0,AW00011142,Keziah,Turner,S,M,2025-12-20
11143.0,AW00011143,Paul,Hall,M,F,2023-03-29
11144.0,AW00011144,Donna,Mitchell,S,F,2024-07-29
11145.0,AW00011145,Patricia,Allen,S,M,2024-06-12
11146.0,AW00011146,Donna,Lewis,S,M,2023-01-13
11147.0,AW00011147,Melissa,Toalii,S,F,2025-12-25
11148.0,AW00011148,Mark,King,S,M,2024-03-14
11149.0,AW00011149,David,Jackson,M,M,2024-06-03
11150.0,AW00011150,Kenneth,Turner,S,M,2023-05-29
11151.0,AW00011151,Amanda,Smith,S,F,2023-03-07
11152.0,AW00011152,Stephanie,Jackson,S,F,2024-07-04
11153.0,AW00011153,Timothy,Nime,S,M,2026-05-30
11154.0,AW00011154,Anthony,Martin,S,M,2023-10-26
11155.0,AW00011155,Brian,Kumar,S,M,2026-05-17
11156.0,AW00011156,Mark,Lee,S,F,2025-05-29
11157.0,AW00011157,David,Carter,S,F,2023-12-26
11158.0,AW00011158,Kenneth,Anderson,S,F,2025-06-02
11159.0,AW00011159,Elizabeth,Wright,M,M,2026-02-05
11160.0,AW00011160,Richard,White,S,F,2023-08-19
11161.0,AW00011161,Linda,Walker,M,M,2023-05-30
11162.0,AW00011162,Joshua,Thomas,S,F,2023-06-14
11163.0,AW00011163,Michael,Lopez,S,F,2026-03-09
11164.0,AW00011164,Brian,Smith,M,F,2023-06-01
11165.0,AW00011165,David,Johnson,S,F,2026-01-09
11166.0,AW00011166,Barbara,Walker,M,M,2024-10-20
11167.0,AW00011167,Betty,Adams,M,M,2025-03-20
11168.0,AW00011168,Mark,Martin,M,M,2025-10-17
11169.0,AW00011169,Donald,Ngata,M,M,2025-08-13
11170.0,AW00011170,Matthew,Hall,S,F,2024-10-24
11171.0,AW00011171,Lisa,Nelson,M,M,2023-06-19
11172.0,AW00011172,Matthew,Martin,M,M,2024-09-16
11173.0,AW00011173,Joseph,Kumar,M,F,2023-03-02
11174.0,AW00011174,Andrew,Singh,M,F,2025-03-18
11175.0,AW00011175,Richard,Adams,S,M,2023-10-07
11176.0,AW00011176,Steven,Turner,S,M,2024-03-29
11177.0,AW00011177,Amanda,Lewis,S,M,2024-01-19
11178.0,AW00011178,Susan,Wilson,S,M,2025-01-09
11179.0,AW00011179,Stephanie,Baker,S,M,2025-05-28
11180.0,AW00011180,Malia,Johnson,M,F,2025-07-21
11181.0,AW00011181,Daniel,Baker,M,M,2026-02-25
11182.0,AW00011182,Steven,Parker,S,F,2026-05-13
11183.0,AW00011183,Kenneth,Walker,M,M,2025-02-15
