customer_key,customer_id,first_name,last_name,marital_status,gender,birth_date,country,created_date
AW00011000,11000,Andrew,Lewis,Married,Female,2002-05-14,Germany,2024-07-11
AW00011001,11001,Ronald,Ngata,Single,Female,1966-12-21,Australia,2023-05-12
AW00011002,11002,Baraa,Williams,Single,Female,2005-09-17,Australia,2023-12-08
AW00011003,11003,Baraa,Nime,Married,Male,1997-12-23,United States,2024-05-01
AW00011004,11004,Kimberly,Carter,Married,Female,1953-05-29,Australia,2026-01-08
AW00011005,11005,Richard,Adams,Single,Male,1995-05-09,United Kingdom,2024-08-23
AW00011006,11006,Linda,Roberts,Single,Female,1964-10-11,Australia,2024-05-07
AW00011007,11007,Joseph,Kumar,Single,Male,1945-08-01,Australia,2025-04-14
AW00011008,11008,Daniel,Wright,Single,Female,1982-12-01,Australia,2026-01-05
AW00011009,11009,Tane,Kumar,Single,Female,1964-04-26,United States,2023-11-08
AW00011010,11010,James,Roberts,Married,Female,1954-03-04,Australia,2025-06-09
AW00011011,11011,Joseph,Green,Married,Male,1977-03-17,Australia,2023-01-27
AW00011012,11012,Matthew,Mitchell,Single,Male,1948-11-24,New Zealand,2024-09-02
AW00011013,11013,Steven,Kumar,Single,Female,1978-12-17,Australia,2025-12-17
AW00011014,11014,Thomas,Scott,Married,Female,2001-05-26,Australia,2024-05-07
AW00011015,11015,Jessica,Carter,Married,Female,1996-10-18,Australia,2025-03-20
AW00011016,11016,Jessica,Parker,Married,Male,1949-02-10,Australia,2023-12-08
AW00011017,11017,Michelle,Hall,Single,Female,1952-02-28,Australia,2024-08-14
AW00011018,11018,Timothy,Jackson,Single,Male,1979-02-07,Australia,2025-10-12
AW00011019,11019,Nancy,Nime,Single,Female,1959-08-05,United Kingdom,2023-03-20
AW00011020,11020,Tane,Hall,Single,Female,2005-02-15,United States,2025-07-01
AW00011021,11021,Malia,Lewis,Married,Female,1999-08-26,USA,2023-12-08
AW00011022,11022,Mary,Walker,Married,Male,1959-08-30,United States,2025-12-16
AW00011023,11023,Baraa,Nelson,Married,Male,2002-06-02,United Kingdom,2025-03-25
AW00011024,11024,Amanda,Johnson,Married,Male,2006-06-03,Canada,2025-05-12
AW00011025,11025,Richard,Toalii,Married,Male,1965-07-20,Germany,2025-05-22
AW00011026,11026,Aroha,Lewis,Single,Male,1980-12-28,New Zealand,2023-02-16
AW00011027,11027,Michelle,Campbell,Single,Female,1995-11-20,United States,2024-09-30
AW00011028,11028,Donald,Jackson,Single,Female,1964-01-29,United States,2023-05-12
AW00011029,11029,Emily,Moore,Married,Female,2002-09-03,United States,2024-08-04
AW00011030,11030,Mere,Campbell,Single,Female,1957-07-12,United Kingdom,2024-01-15
AW00011031,11031,Paul,Moore,Married,Female,1997-06-12,Australia,2025-08-11
AW00011032,11032,Betty,Smith,Married,Female,1977-06-23,Australia,2024-11-13
AW00011033,11033,Joseph,Phillips,Single,Male,1990-09-18,Australia,2023-12-28
AW00011034,11034,James,Moore,Single,Female,1954-11-02,Australia,2024-01-15
AW00011035,11035,Thomas,Wright,Single,Female,2006-01-19,Canada,2025-10-08
AW00011036,11036,Tane,Baker,Married,Male,1979-07-10,Australia,2025-07-30
AW00011037,11037,Mary,Wright,Married,Female,1992-06-21,Australia,2023-09-10
AW00011038,11038,Ashley,Johnson,Single,Male,2006-01-12,Germany,2023-08-27
AW00011039,11039,Charles,Green,Single,Male,2002-07-04,Australia,2024-02-01
AW00011040,11040,Michael,Perez,Married,Female,1984-01-03,Australia,2023-12-13
AW00011041,11041,Kenneth,Thompson,Married,Male,1968-08-18,United States,2025-10-28
AW00011042,11042,Paul,Scott,Single,Male,1990-07-19,United States,2024-09-06
AW00011043,11043,Paul,Roberts,Single,Female,2002-04-29,United States,2026-03-13
AW00011044,11044,Paul,Thomas,Married,Male,1958-09-18,United States,2025-10-06
AW00011045,11045,Emily,Parker,Single,Female,1993-05-23,Canada,2026-03-09
AW00011046,11046,Tane,Clark,Single,Male,1998-09-26,United States,2025-09-15
AW00011047,11047,Betty,Johnson,Married,Male,1955-01-14,Australia,2025-11-20
AW00011048,11048,Betty,Moore,Single,Female,1966-06-26,Australia,2025-10-17
AW00011049,11049,Jessica,King,Married,Male,1952-09-07,Australia,2024-09-02
AW00011050,11050,Michael,Patel,Single,Female,1992-10-16,Australia,2024-08-11
AW00011051,11051,Sione,Manu,Married,Female,2004-03-10,United Kingdom,2025-04-16
AW00011052,11052,Ronald,Roberts,Single,Male,1968-10-12,United States,2023-05-31
AW00011053,11053,Emily,Toalii,Married,Female,1964-01-02,Australia,2023-10-02
AW00011054,11054,Susan,Singh,Single,Male,1972-12-19,United Kingdom,2025-03-13
AW00011055,11055,Betty,Nime,Married,Female,1984-04-21,Germany,2026-02-24
AW00011056,11056,Steven,Martin,Single,Female,1955-11-10,Australia,2023-07-03
AW00011057,11057,Charles,Clark,Married,Male,1975-05-02,Australia,2024-10-14
AW00011058,11058,Mark,King,Married,Male,1965-08-24,France,2024-12-19
AW00011059,11059,Melissa,Singh,Single,Male,1951-05-16,United Kingdom,2026-02-12
AW00011060,11060,Richard,Parker,Single,Female,1965-07-16,United States,2025-11-27
AW00011061,11061,Jessica,Miller,Married,Male,1974-08-24,United States,2024-03-25
AW00011062,11062,George,Wright,Single,Female,1969-12-26,New Zealand,2024-04-22
AW00011063,11063,Keziah,Wilson,Single,Male,1993-05-18,Australia,2023-04-07
AW00011064,11064,Melissa,Green,Single,Male,1966-10-20,US,2024-12-24
AW00011065,11065,Patricia,Jackson,Married,Male,1962-01-31,Australia,2023-04-13
AW00011066,11066,Jessica,Patel,Married,Female,1976-10-14,United Kingdom,2026-03-06
AW00011067,11067,Charles,Williams,Married,Male,1949-11-11,United States,2023-03-06
AW00011068,11068,Aroha,Roberts,Married,Male,1950-06-10,Australia,2024-05-16
AW00011069,11069,Michelle,Moore,Married,Male,1954-10-21,Australia,2025-04-29
AW00011070,11070,Sarah,Patel,Married,Female,1993-02-11,Australia,2026-02-28
AW00011071,11071,Anthony,Garcia,Single,Female,1961-06-18,United States,2023-11-23
AW00011072,11072,Ashley,Taylor,Single,Female,1951-10-07,United Kingdom,2023-03-09
AW00011073,11073,Rebecca,Toalii,Married,Male,1949-07-16,Australia,2024-12-25
AW00011074,11074,Keziah,Johnson,Married,Male,1953-05-15,Australia,2026-02-14
AW00011075,11075,Robert,Parker,Single,Female,1959-12-03,United States,2023-06-19
AW00011076,11076,William,King,Married,Male,1964-03-06,Australia,2024-02-18
AW00011077,11077,Keziah,Nelson,Single,Male,1959-10-09,Australia,2025-03-25
AW00011078,11078,Aroha,Jones,Single,Male,1968-10-17,United States,2023-04-01
AW00011079,11079,George,White,Married,Male,1970-08-05,United States,2024-04-16
AW00011080,11080,Kimberly,Hall,Single,Female,1958-11-21,Australia,2025-10-23
AW00011081,11081,Anthony,Wilson,Single,Male,1950-04-01,Canada,2026-01-21
AW00011082,11082,Donna,Green,Single,Female,1973-02-19,United States,2023-07-19
